PlayerID,RelativeTime,Event
9,90.18,PLAYER_LOGIN
113,90.468,PLAYER_LOGOUT
113,90.78,PLAYER_LOGIN
115,91.26,PLAYER_LOGIN
112,92.34,PLAYER_LOGIN
43,92.94,PLAYER_LOGIN
82,94.446,PLAYER_LOGOUT
39,94.79,PLAYER_LOGOUT
112,95.166,PLAYER_LOGOUT
11,95.46,PLAYER_LOGIN
13,95.52,PLAYER_LOGIN
80,95.82,PLAYER_LOGIN
115,95.95,PLAYER_LOGOUT
56,97.02,PLAYER_LOGIN
56,97.022,PLAYER_LOGOUT
113,98.353,PLAYER_LOGOUT
11,98.669,PLAYER_LOGOUT
9,98.696,PLAYER_LOGOUT
115,98.7,PLAYER_LOGIN
8,98.76,PLAYER_LOGIN
9,98.76,PLAYER_LOGIN
113,98.94,PLAYER_LOGIN
80,99.06,PLAYER_LOGIN
80,99.124,PLAYER_LOGOUT
113,99.471,PLAYER_LOGOUT
113,99.6,PLAYER_LOGIN
115,99.884,PLAYER_LOGOUT
115,99.9,PLAYER_LOGIN
113,99.943,PLAYER_LOGOUT
113,99.96,PLAYER_LOGIN
11,101.28,PLAYER_LOGIN
80,101.438,PLAYER_LOGOUT
56,101.481,PLAYER_LOGOUT
80,101.52,PLAYER_LOGIN
11,102.056,PLAYER_LOGOUT
56,102.36,PLAYER_LOGIN
11,102.42,PLAYER_LOGIN
43,103.138,PLAYER_LOGOUT
43,103.14,PLAYER_LOGIN
115,103.269,PLAYER_LOGOUT
43,103.32,PLAYER_LOGIN
43,103.329,PLAYER_LOGOUT
56,103.521,PLAYER_LOGOUT
113,103.777,PLAYER_LOGOUT
113,103.8,PLAYER_LOGIN
80,103.9,PLAYER_LOGOUT
22,104.019,PLAYER_LOGOUT
7,104.22,PLAYER_LOGIN
84,104.829,PLAYER_LOGOUT
111,105.36,PLAYER_LOGIN
41,106.08,PLAYER_LOGIN
43,106.56,PLAYER_LOGIN
43,106.56,PLAYER_LOGOUT
43,106.59,PLAYER_LOGOUT
43,106.62,PLAYER_LOGIN
84,107.04,PLAYER_LOGIN
7,107.174,PLAYER_LOGOUT
41,107.246,PLAYER_LOGOUT
113,107.333,PLAYER_LOGOUT
113,107.34,PLAYER_LOGIN
43,107.7,PLAYER_LOGOUT
113,108.344,PLAYER_LOGOUT
39,108.36,PLAYER_LOGIN
116,108.9,PLAYER_LOGIN
11,108.916,PLAYER_LOGOUT
116,109.007,PLAYER_LOGOUT
11,109.02,PLAYER_LOGIN
11,109.237,PLAYER_LOGOUT
11,109.44,PLAYER_LOGIN
8,109.555,PLAYER_LOGOUT
8,109.56,PLAYER_LOGIN
112,109.62,PLAYER_LOGIN
11,109.691,PLAYER_LOGOUT
11,109.86,PLAYER_LOGIN
11,109.935,PLAYER_LOGOUT
9,110.017,PLAYER_LOGOUT
40,110.217,PLAYER_LOGOUT
7,110.7,PLAYER_LOGIN
55,111.18,PLAYER_LOGIN
116,111.36,PLAYER_LOGIN
40,111.391,PLAYER_LOGOUT
116,111.72,PLAYER_LOGIN
116,111.75,PLAYER_LOGOUT
54,112.14,PLAYER_LOGIN
111,112.169,PLAYER_LOGOUT
116,112.254,PLAYER_LOGOUT
54,112.448,PLAYER_LOGOUT
40,112.8,PLAYER_LOGOUT
40,112.902,PLAYER_LOGOUT
8,112.932,PLAYER_LOGOUT
40,113.012,PLAYER_LOGOUT
40,113.456,PLAYER_LOGOUT
84,113.655,PLAYER_LOGOUT
84,113.94,PLAYER_LOGIN
84,114.329,PLAYER_LOGOUT
84,114.36,PLAYER_LOGIN
84,114.48,PLAYER_LOGIN
84,114.545,PLAYER_LOGOUT
84,114.571,PLAYER_LOGOUT
13,114.66,PLAYER_LOGIN
13,114.679,PLAYER_LOGOUT
13,114.72,PLAYER_LOGIN
116,114.72,PLAYER_LOGIN
13,114.751,PLAYER_LOGOUT
9,115.8,PLAYER_LOGIN
9,115.92,PLAYER_LOGIN
9,115.954,PLAYER_LOGOUT
22,116.158,PLAYER_LOGOUT
114,116.82,PLAYER_LOGIN
39,116.93,PLAYER_LOGOUT
39,116.94,PLAYER_LOGIN
104,117.54,PLAYER_LOGIN
13,117.6,PLAYER_LOGIN
43,117.6,PLAYER_LOGIN
13,117.65,PLAYER_LOGOUT
84,117.78,PLAYER_LOGIN
84,117.888,PLAYER_LOGOUT
43,118.711,PLAYER_LOGOUT
43,118.74,PLAYER_LOGIN
43,120.589,PLAYER_LOGOUT
43,120.6,PLAYER_LOGIN
82,120.6,PLAYER_LOGIN
43,121.849,PLAYER_LOGOUT
104,122.135,PLAYER_LOGOUT
53,122.28,PLAYER_LOGIN
104,122.28,PLAYER_LOGIN
